자하, 91, 188
라아, 48, 154
라바, 62, 152
다파, 44, 150
가마, 89, 180
바차, 95, 191
바파, 76, 189
나사, 53, 179
자사, 67, 157
나가, 93, 186
라나, 95, 185
하아, 90, 163
카다, 97, 168
타다, 58, 146
가타, 46, 162
가카, 89, 161
카마, 96, 152
하나, 91, 171
바카, 48, 171
다카, 71, 181
카타, 96, 183
타바, 89, 173
타아, 88, 181
가자, 86, 198
하파, 88, 158
라자, 47, 155
다마, 63, 184
자다, 89, 158
다아, 64, 156
가아, 96, 167
차다, 79, 192
하바, 61, 190
차파, 79, 187
자바, 78, 171
사사, 83, 191
바라, 84, 171
자차, 73, 195
파가, 85, 182
사라, 97, 157
라차, 82, 169
카파, 58, 180
나파, 82, 158
다아, 72, 160
아하, 63, 183
라다, 64, 153
하아, 66, 172
다사, 56, 141
차나, 66, 149
파사, 64, 178
마파, 83, 183
자다, 82, 174
타라, 80, 195
카다, 94, 195
바바, 52, 185
카파, 52, 184
사마, 43, 170
타라, 49, 155
하나, 99, 141
파바, 62, 171
자아, 46, 151
하나, 86, 173
마마, 53, 187
자사, 77, 181
자나, 65, 144
차하, 48, 176
라자, 59, 147
가사, 93, 183
타차, 86, 142
자카, 97, 199
타바, 47, 192
하사, 41, 176
카가, 58, 149
라아, 88, 149
타차, 53, 179
가바, 75, 196
마마, 95, 144
아가, 84, 160
가차, 72, 172
마하, 92, 177
라하, 49, 180
타카, 55, 155
아사, 77, 142
타다, 73, 185
라나, 88, 149
다차, 48, 163
파차, 85, 178
나자, 73, 176
자다, 48, 178
타파, 69, 159
라라, 83, 156
라파, 65, 197
가카, 61, 158
바아, 80, 181
카가, 64, 181
자자, 81, 184
자가, 52, 165
파아, 90, 155
하바, 76, 149
다파, 98, 163
다파, 85, 198
사타, 76, 185
카차, 59, 179
파다, 56, 186
사마, 81, 153
자나, 80, 184
나바, 63, 193
바마, 89, 164
사사, 55, 147
하바, 42, 147
가하, 89, 178
가타, 92, 170
가바, 88, 197
하타, 41, 166
라사, 69, 175
사사, 42, 175
다사, 82, 166
나카, 96, 181
