종목명,시가총액,누적비율
삼성전자,3430430,0.14413858494492707
SK하이닉스,1503325,0.2073047589267114
LG에너지솔루션,747630,0.23871840977000972
삼성바이오로직스,709605,0.2685343397175221
현대차,410037,0.28576312822364613
한화에어로스페이스,387829,0.3020587889019302
삼성전자우,387588,0.31834432332812007
KB금융,371097,0.33393694479461483
기아,366256,0.3493261588487098
HD현대중공업,362638,0.36456335306846027
셀트리온,341621,0.37891746247383246
NAVER,299763,0.39151279735571204
신한지주,257838,0.40234654253198154
한화오션,243292,0.4125690990652503
현대모비스,238532,0.4225916516152465
HMM,226534,0.4321100764779937
삼성물산,210941,0.440973320224949
메리츠금융지주,206477,0.44964899721112095
POSCO홀딩스,204356,0.4582355547753346
두산에너빌리티,201456,0.46670026117326874
HD한국조선해양,200996,0.47514563945517235
하나금융지주,189004,0.4830871421556883
크래프톤,180412,0.4906676292628685
삼성화재,176945,0.49810244119987934
