N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"57,950",상승 550,+0.96%,100,"3,430,430","5,919,638",49.73,"4,997,525",11.71,9.03
2,SK하이닉스,"206,500",상승 500,+0.24%,"5,000","1,503,325","728,002",54.29,"993,969",7.60,31.06
3,LG에너지솔루션,"319,500","상승 6,000",+1.91%,500,"747,630","234,000",4.20,"77,785",-73.38,-4.93
4,삼성바이오로직스,"997,000","하락 8,000",-0.80%,"2,500","709,605","71,174",12.97,"11,216",65.50,10.45
5,현대차,"195,800","하락 1,300",-0.66%,"5,000","410,037","209,416",35.53,"124,327",4.25,12.43
6,한화에어로스페이스,"820,000",보합 0,0.00%,"5,000","387,829","47,296",45.01,"60,553",17.47,53.94
7,삼성전자우,"47,500",상승 250,+0.53%,100,"387,588","815,975",73.76,"254,640",9.60,N/A
8,KB금융,"94,300",상승 900,+0.96%,"5,000","371,097","393,528",75.23,"173,472",7.42,8.86
9,기아,"92,100",하락 300,-0.32%,"5,000","366,256","397,673",38.65,"223,105",3.77,19.09
10,HD현대중공업,"408,500","하락 7,500",-1.80%,"5,000","362,638","88,773",10.41,"41,840",58.35,11.39
11,셀트리온,"153,200","하락 1,100",-0.71%,"1,000","341,621","222,990",21.80,"159,051",82.59,2.46
12,NAVER,"189,200","하락 2,000",-1.05%,100,"299,763","158,437",48.66,"124,686",15.88,7.90
13,신한지주,"52,000",상승 200,+0.39%,"5,000","257,838","495,842",58.19,"129,958",5.95,8.11
14,한화오션,"79,400",하락 100,-0.13%,"5,000","243,292","306,413",12.76,"603,894",46.06,11.52
15,현대모비스,"256,500","하락 1,500",-0.58%,"5,000","238,532","92,995",41.81,"23,609",5.90,9.35
16,HMM,"22,100","상승 1,300",+6.25%,"5,000","226,534","1,025,039",7.93,"3,471,552",4.37,15.35
17,삼성물산,"124,100","하락 1,100",-0.88%,100,"210,941","169,977",27.67,"25,913",10.11,6.83
18,메리츠금융지주,"114,700","하락 1,900",-1.63%,500,"206,477","180,014",16.36,"185,825",9.64,23.44
19,POSCO홀딩스,"252,500",상승 500,+0.20%,"5,000","204,356","80,933",29.20,"46,219",19.31,2.00
20,두산에너빌리티,"31,450",상승 150,+0.48%,"5,000","201,456","640,561",24.84,"5,142,198",180.75,1.52
21,HD한국조선해양,"284,000","하락 4,000",-1.39%,"5,000","200,996","70,773",32.28,"72,701",17.14,11.16
22,하나금융지주,"65,800",상승 300,+0.46%,"5,000","189,004","287,241",66.61,"117,945",5.11,9.11
23,크래프톤,"376,500","상승 3,500",+0.94%,100,"180,412","47,918",41.93,"18,441",13.86,21.10
24,삼성화재,"373,500","하락 4,500",-1.19%,500,"176,945","47,375",53.81,"13,252",9.11,13.11
25,한국전력,"26,700",상승 600,+2.30%,"5,000","171,404","641,964",18.38,"670,281",4.91,9.22
26,고려아연,"820,000","하락 19,000",-2.26%,"5,000","169,767","20,703",12.19,"3,399",89.23,2.28
27,삼성생명,"84,100","하락 2,200",-2.55%,500,"168,200","200,000",21.77,"48,565",7.98,6.18
28,카카오,"37,700",하락 250,-0.66%,100,"167,356","443,914",28.51,"477,315",304.03,0.56
29,LG화학,"203,500",보합 0,0.00%,"5,000","143,655","70,592",29.98,"38,037",-23.06,-2.11
30,KT&G,"117,100",상승 500,+0.43%,"5,000","142,935","122,062",43.69,"28,203",13.05,12.66
31,SK스퀘어,"103,600",상승 100,+0.10%,100,"137,312","132,541",52.15,"63,226",3.79,21.70
32,SK이노베이션,"89,200",하락 600,-0.67%,"5,000","134,723","151,035",13.50,"57,687",-4.20,-9.65
